record_ID,Budget
370,14557.60571
371,44661.60522
372,75874.1037
373,169381.6821
374,163992.2529
375,118081.3526
376,76336.81056
377,101790.9233
378,64306.60106
379,112136.5711
380,78216.05185
381,118956.8215
382,128144.2537
383,88196.20368
384,82480.26411
385,67053.02827
386,128490.2105
387,114077.5436
388,32665.47239
389,62470.21134
390,68792.12086
391,53323.0528
392,67200.3421
393,72418.65498
394,65195.40734
395,33114.45358
396,64571.09539
397,48102.54048
398,34929.27643
399,46995.11699
400,34531.60153
401,58308.63626
402,49306.79596
403,39095.10526
404,46508.47141
405,53468.09721
406,77888.86223
407,40212.10675
408,54681.78395
409,56042.20071
410,55265.94045
411,55328.96496
412,68453.10485
413,74614.03581
414,58080.69884
415,48576.10569
416,40844.02677
417,34149.08652
418,54720.59417
419,46788.5553
420,91591.76629
421,61326.11376
422,41216.76542
423,45282.74757
424,39332.33324
425,47807.39294
426,65439.30884
427,58067.10544
428,54188.66982
429,54307.29242
430,68221.04725
431,43806.68443
432,66208.40131
433,65749.80189
434,67733.48671
435,64631.55363
436,65068.44645
437,50672.86639
438,35846.57918
439,66320.21028
440,51904.65522
441,59593.20875
442,60117.45072
443,66808.28371
444,56274.80679
445,61632.62712
446,57820.59034
447,75392.32386
448,70113.12405
449,71266.55865
450,57553.28173
451,45275.88491
452,78669.2293
453,79857.88239
454,107652.4062
455,73689.11869
456,29755.59296
457,41726.1573
458,51711.52766
459,46664.05443
460,70897.00878
461,49350.82464
462,58672.60826
463,48248.5136
464,70874.71666
465,75777.6384
466,65007.006
467,77443.00559
468,66376.80679
469,47852.18783
470,74393.85325
471,78550.48062
472,75665.08127
473,41490.08676
474,73124.57574
475,73981.93078
476,42260.30325
477,39629.86083
478,51969.98447
479,34771.89103
480,41047.96883
481,94874.76221
482,71093.5712
483,59492.51602
484,59411.16475
485,58194.86776
486,53486.33893
487,59070.20285
488,49318.76678
489,76209.98299
490,47473.55275
491,56577.6888
492,38442.54571
493,70703.24239
494,55890.88533
495,82876.69785
496,52885.76278
497,28589.62633
498,31802.47116
499,49911.98851
500,31106.29776
501,37570.8122
502,32884.00641
503,77802.39833
504,91703.23596
505,81968.74667
506,78561.1494
507,48648.27647
508,485.1279346
509,45373.68715
510,48895.47272
511,95601.88944
512,53752.2094
513,89326.11789
514,75486.99575
515,79317.82939
